ST,L,R,Teff,Mass,Bol,BC,B-V,V-R,V-I,Mu,Mv,Mb,Mr,Mi,Mj,Mh,Mk,Ml,flag,check
M6,7.48E-02,9.71E-01,2948,0.1,7.56,-3.51,1.85,1.51,3.5,14.55,11.08,12.93,9.57,7.58,4.2,3.51,3.12,2.72,0,1
M6,1.30E-01,1.10E+00,3172,0.2,6.96,-2.55,1.62,1.24,2.85,12.68,9.52,11.14,8.28,6.67,3.96,3.32,2.99,2.67,0,0
M4,1.81E-01,1.15E+00,3393,0.3,6.6,-1.91,1.54,1.07,2.38,11.37,8.51,10.05,7.44,6.13,4.27,3.66,3.39,3.17,0,0
M2,2.61E-01,1.23E+00,3605,0.4,6.21,-1.44,1.49,0.95,2.01,10.36,7.65,9.14,6.7,5.64,4.37,3.71,3.5,3.34,0,0
M1,3.56E-01,1.32E+00,3757,0.5,5.87,-1.26,1.43,0.9,1.85,9.81,7.13,8.56,6.23,5.29,4.21,3.53,3.35,3.2,0,0
M0,4.63E-01,1.40E+00,3883,0.6,5.59,-1.11,1.37,0.86,1.72,9.33,6.7,8.07,5.83,4.98,4.02,3.35,3.18,3.05,0,0
M0,5.79E-01,1.48E+00,3989,0.7,5.34,-0.99,1.32,0.83,1.61,8.93,6.34,7.66,5.5,4.72,3.78,3.12,2.97,2.84,0,0
K7,7.03E-01,1.56E+00,4089,0.8,5.13,-0.88,1.28,0.8,1.52,8.55,6.01,7.29,5.22,4.5,3.59,2.93,2.8,2.68,0,0
K7,8.38E-01,1.64E+00,4178,0.9,4.94,-0.79,1.23,0.77,1.43,8.17,5.73,6.96,4.96,4.29,3.44,2.8,2.68,2.56,0,0
K6,9.85E-01,1.71E+00,4262,1,4.77,-0.7,1.19,0.73,1.36,7.8,5.47,6.66,4.74,4.1,3.27,2.65,2.53,2.43,0,0
K6,1.14E+00,1.79E+00,4329,1.1,4.61,-0.64,1.16,0.71,1.31,7.49,5.24,6.4,4.54,3.94,3.11,2.5,2.39,2.28,0,0
K5,1.32E+00,1.86E+00,4400,1.2,4.45,-0.58,1.12,0.68,1.25,7.2,5.03,6.14,4.35,3.78,2.95,2.35,2.24,2.14,0,0
K5,1.51E+00,1.94E+00,4467,1.3,4.3,-0.52,1.08,0.65,1.2,6.94,4.82,5.91,4.17,3.62,2.79,2.2,2.09,1.99,0,0
K5,1.73E+00,2.01E+00,4535,1.4,4.16,-0.47,1.05,0.62,1.15,6.68,4.63,5.68,4.01,3.48,2.64,2.05,1.95,1.85,0,0
K4,1.98E+00,2.09E+00,4607,1.5,4.01,-0.42,1.01,0.59,1.1,6.41,4.43,5.44,3.84,3.33,2.49,1.92,1.82,1.72,0,0
